Cluster;SPECIES
3;Aglais io
3;Aglais urticae
3;Anthocharis cardamines
2;Anthocharis euphenoides
2;Apatura ilia
1;Aphantopus hyperantus
2;Aporia crataegi
3;Araschnia levana
2;Arethusana arethusa
2;Argynnis adippe
1;Argynnis aglaja
1;Argynnis niobe
2;Argynnis pandora
2;Argynnis paphia
2;Aricia agestis
4;Aricia cramera
2;Boloria dia
1;Boloria eunomia
1;Boloria selene
1;Brenthis daphne
1;Brenthis ino
2;Brintesia circe
4;Cacyreus marshalli
2;Callophrys avis
2;Callophrys rubi
2;Carcharodus alceae
1;Carcharodus baeticus
1;Carcharodus floccifera
2;Carcharodus lavatherae
3;Celastrina argiolus
3;Charaxes jasius
1;Chazara briseis
2;Coenonympha arcania
2;Coenonympha dorus
1;Coenonympha glycerion
2;Coenonympha pamphilus
2;Colias alfacariensis
4;Colias crocea
2;Cupido alcetas
2;Cupido argiades
1;Cupido minimus
1;Cupido osiris
1;Cyaniris semiargus
4;Danaus chrysippus
4;Danaus plexippus
1;Erebia cassioides
1;Erebia epiphron
1;Erebia euryale
1;Erebia meolans
1;Erebia neoridas
1;Erebia oeme
1;Erebia triaria
2;Erynnis tages
3;Euchloe crameri
2;Euphydryas aurinia
1;Euphydryas desfontainii
2;Favonius quercus
4;Gegenes nostradamus
2;Glaucopsyche alexis
2;Glaucopsyche melanops
3;Gonepteryx cleopatra
3;Gonepteryx rhamni
1;Hamearis lucina
1;Hesperia comma
2;Hipparchia fagi
2;Hipparchia fidia
2;Hipparchia hermione
2;Hipparchia semele
2;Hipparchia statilinus
1;Hyponephele lycaon
2;Iolana debilitata
3;Iphiclides feisthamelii
3;Issoria lathonia
1;Laeosopis roboris
4;Lampides boeticus
2;Lasiommata maera
3;Lasiommata megera
3;Leptidea sinapis
4;Leptotes pirithous
3;Libythea celtis
2;Limenitis camilla
2;Limenitis reducta
1;Lycaena alciphron
2;Lycaena phlaeas
1;Lycaena tityrus
1;Lycaena virgaureae
2;Lysandra bellargus
1;Lysandra coridon
2;Lysandra hispana
2;Maniola jurtina
2;Melanargia lachesis
1;Melanargia occitanica
1;Melanargia russiae
1;Melitaea cinxia
2;Melitaea deione
1;Melitaea diamina
2;Melitaea didyma
1;Melitaea nevadensis
1;Melitaea parthenoides
2;Melitaea phoebe
1;Melitaea trivia
1;Muschampia proto
3;Nymphalis antiopa
3;Nymphalis polychloros
2;Ochlodes sylvanus
4;Papilio machaon
3;Pararge aegeria
1;Parnassius apollo
1;Parnassius mnemosyne
1;Phengaris arion
4;Pieris brassicae
2;Pieris mannii
3;Pieris napi
1;Plebejus argus
1;Plebejus idas
3;Polygonia c-album
1;Polyommatus amandus
1;Polyommatus damon
1;Polyommatus daphnis
1;Polyommatus dorylas
1;Polyommatus escheri
1;Polyommatus fulgens
2;Polyommatus icarus
1;Polyommatus ripartii
2;Polyommatus thersites
4;Pontia daplidice
2;Pseudophilotes panoptes
1;Pyrgus alveus
2;Pyrgus armoricanus
1;Pyrgus carthami
1;Pyrgus cirsii
2;Pyrgus malvoides
1;Pyrgus serratulae
2;Pyronia bathseba
2;Pyronia cecilia
2;Pyronia tithonus
1;Satyrium acaciae
2;Satyrium esculi
1;Satyrium ilicis
1;Satyrium spini
1;Satyrium w-album
1;Satyrus actaea
1;Scolitantides orion
2;Spialia sertorius
1;Thecla betulae
2;Thymelicus acteon
1;Thymelicus lineola
2;Thymelicus sylvestris
2;Tomares ballus
4;Vanessa atalanta
4;Vanessa cardui
2;Zerynthia rumina
4;Pieris rapae
2;Pyrgus sp.
2;Pyronia sp
2;Lycaenidae
3;Gonepteryx sp.